Event Type,Duration (hrs),Photographers,Location,Editing Level,Additional Services,Photographer Rating,Cost
Birthday,9,3,City,Advanced,None,4.0,2400.0
Corporate,9,1,Beach,Advanced,Instant Prints,4.7,2485.0
Fashion Show,9,1,Rural,Premium,Photo Album,3.6,3980.0
Concert,2,5,Suburban,Premium,Instant Prints,3.7,3535.0
Engagement,8,4,Suburban,Basic,None,3.6,3080.0
Wedding,5,5,Rural,Standard,Instant Prints,4.5,3375.0
Birthday,2,1,Suburban,Advanced,Instant Prints,4.2,1460.0
Corporate,10,3,City,Premium,Instant Prints,4.4,2970.0
Sports,4,5,Suburban,Advanced,Live Streaming,4.2,3910.0
Wedding,7,1,Mountain,Standard,Instant Prints,4.4,2770.0
Corporate,10,1,Suburban,Advanced,Photo Album,4.3,2615.0
Sports,2,3,Beach,Basic,Photo Album,4.7,3035.0
Corporate,10,4,Beach,Standard,None,4.0,3000.0
Engagement,5,1,Mountain,Advanced,None,4.2,2210.0
Engagement,5,3,City,Premium,Photo Album,4.4,2820.0
Sports,6,2,Mountain,Standard,Drone,3.9,3295.0
Birthday,3,5,Rural,Premium,Photo Album,4.8,2440.0
Concert,7,1,Rural,Basic,Instant Prints,4.2,3260.0
Engagement,11,2,Rural,Premium,Drone,3.8,3290.0
Concert,7,3,City,Advanced,None,4.9,3545.0
Anniversary,9,1,Beach,Basic,Photo Album,5.0,2750.0
Anniversary,10,3,Suburban,Standard,Photo Album,4.7,3235.0
Sports,5,2,Beach,Advanced,None,3.7,2885.0
Sports,4,5,Suburban,Premium,Photo Album,3.6,3580.0
Corporate,5,3,Beach,Standard,None,5.0,2350.0
Birthday,5,5,City,Advanced,None,4.8,2440.0
Engagement,9,3,Suburban,Premium,Live Streaming,4.6,3530.0
Sports,4,4,Mountain,Basic,Live Streaming,4.5,3725.0
Anniversary,6,1,City,Basic,Photo Album,4.2,2410.0
Fashion Show,9,3,Rural,Advanced,None,4.3,4215.0
Anniversary,5,5,Beach,Premium,Live Streaming,4.0,3400.0
Fashion Show,7,3,Suburban,Premium,None,4.3,4015.0
Engagement,7,3,Beach,Advanced,Instant Prints,3.7,2935.0
Concert,2,5,Mountain,Standard,Live Streaming,4.4,3920.0
Wedding,4,4,City,Advanced,Instant Prints,4.6,3080.0
Corporate,8,2,City,Premium,Drone,4.2,2710.0
Engagement,2,2,Rural,Premium,Drone,4.1,2405.0
Birthday,12,3,Rural,Premium,Live Streaming,4.9,3245.0
Fashion Show,2,5,Mountain,Standard,Photo Album,3.7,4085.0
Engagement,2,5,Beach,Basic,None,4.0,2700.0
Concert,2,1,Suburban,Advanced,Drone,4.3,2915.0
Corporate,3,1,Beach,Standard,None,4.1,1705.0
Birthday,4,5,Mountain,Basic,Live Streaming,4.2,2810.0
Concert,7,1,Beach,Standard,Photo Album,5.0,3350.0
Anniversary,8,5,Suburban,Basic,None,4.3,3215.0
Sports,8,5,Rural,Advanced,Live Streaming,4.8,4340.0
Fashion Show,12,5,Mountain,Advanced,Photo Album,3.9,5095.0
Sports,3,2,City,Standard,Photo Album,3.8,2890.0
Anniversary,11,4,City,Premium,None,4.7,3335.0
Engagement,10,4,Suburban,Advanced,Instant Prints,4.8,3490.0
Concert,9,2,Beach,Premium,Photo Album,4.5,3725.0
Corporate,8,2,Beach,Advanced,Photo Album,3.9,2595.0
Corporate,3,3,Mountain,Advanced,Photo Album,4.5,2325.0
Engagement,4,5,City,Advanced,Instant Prints,3.9,3045.0
Wedding,11,4,Beach,Advanced,Live Streaming,4.6,4130.0
Engagement,3,3,Beach,Standard,Instant Prints,3.7,2535.0
Wedding,10,2,Suburban,Standard,Instant Prints,3.8,3240.0
Concert,4,3,City,Premium,Drone,3.8,3490.0
Wedding,10,3,Beach,Basic,Live Streaming,4.6,3830.0
Birthday,6,1,Mountain,Basic,Live Streaming,4.1,2205.0
Concert,8,1,Mountain,Standard,Photo Album,4.7,3435.0
Fashion Show,7,3,Mountain,Advanced,Photo Album,4.2,4210.0
Anniversary,6,1,City,Advanced,Drone,4.1,2505.0
Birthday,2,1,City,Advanced,Photo Album,4.1,1505.0
Engagement,7,4,Mountain,Standard,Instant Prints,3.7,3135.0
Sports,4,3,Suburban,Premium,Live Streaming,4.7,3535.0
Anniversary,12,5,Mountain,Basic,Instant Prints,4.3,3765.0
Fashion Show,8,4,Suburban,Standard,Live Streaming,4.6,4830.0
Corporate,8,3,Beach,Advanced,None,4.9,2645.0
Corporate,7,2,Rural,Basic,Photo Album,4.9,2545.0
Engagement,4,5,Rural,Advanced,None,4.5,2925.0
Fashion Show,11,5,Mountain,Standard,Live Streaming,4.0,5300.0
Anniversary,4,5,City,Basic,Live Streaming,4.6,3330.0
Anniversary,7,1,Beach,Basic,Drone,4.4,2620.0
Sports,4,1,City,Standard,Live Streaming,4.1,3105.0
Wedding,12,4,Mountain,Premium,Drone,3.7,3985.0
Corporate,3,5,Mountain,Standard,Live Streaming,4.6,3030.0
Wedding,2,2,Mountain,Premium,Live Streaming,3.9,2795.0
Concert,6,1,Beach,Premium,None,4.9,3045.0
Wedding,10,2,Beach,Advanced,Drone,4.5,3425.0
Fashion Show,2,5,City,Premium,Instant Prints,5.0,4100.0
Fashion Show,6,1,Suburban,Basic,Instant Prints,3.7,3635.0
Engagement,12,3,Mountain,Premium,Instant Prints,4.7,3485.0
Concert,6,3,Beach,Premium,Live Streaming,4.0,3900.0
Sports,4,4,Rural,Standard,Live Streaming,4.3,3715.0
Corporate,11,3,Beach,Basic,Photo Album,4.0,3100.0
Engagement,9,3,City,Advanced,Drone,4.0,3300.0
Sports,8,5,Beach,Standard,Photo Album,4.0,4000.0
Concert,11,1,Mountain,Basic,Drone,4.3,3815.0
Birthday,7,3,Mountain,Advanced,Instant Prints,4.3,2365.0
Sports,10,3,Mountain,Basic,Live Streaming,4.1,4105.0
Anniversary,12,3,City,Standard,None,4.6,3230.0
Engagement,12,1,City,Basic,Drone,3.8,3190.0
Wedding,10,1,City,Advanced,Photo Album,4.2,3110.0
Anniversary,10,4,Beach,Basic,Drone,3.6,3480.0
Engagement,12,5,City,Standard,Live Streaming,4.4,4220.0
Fashion Show,6,2,Mountain,Standard,Live Streaming,4.6,4230.0
Engagement,5,1,Mountain,Premium,Photo Album,4.9,2445.0
Sports,2,5,City,Advanced,Instant Prints,4.0,3350.0
Concert,2,4,Suburban,Basic,Photo Album,4.1,3405.0
Birthday,5,1,City,Advanced,Live Streaming,3.5,2075.0
Wedding,2,3,City,Standard,Live Streaming,4.9,3045.0
Sports,8,5,Mountain,Standard,Instant Prints,4.4,3970.0
Concert,12,1,Rural,Premium,Drone,3.8,3890.0
Concert,11,5,Mountain,Basic,Instant Prints,5.0,4500.0
Anniversary,11,2,Rural,Basic,Instant Prints,4.5,3075.0
Concert,7,5,Rural,Basic,Drone,3.8,4190.0
Birthday,4,1,Mountain,Advanced,None,4.3,1515.0
Concert,3,3,Suburban,Standard,Photo Album,4.9,3345.0
Concert,7,4,Beach,Basic,Drone,3.7,3985.0
Anniversary,12,5,Rural,Basic,Instant Prints,4.0,3750.0
Wedding,7,2,Rural,Basic,None,4.7,2835.0
Concert,7,4,Suburban,Advanced,Live Streaming,4.4,4220.0
Engagement,5,5,Suburban,Premium,None,3.8,2990.0
Anniversary,8,4,Mountain,Basic,Live Streaming,3.8,3490.0
Birthday,11,5,Rural,Premium,Photo Album,4.0,3200.0
Corporate,11,2,Beach,Basic,Live Streaming,3.8,3190.0
Engagement,9,2,Suburban,Advanced,Photo Album,4.5,3025.0
Anniversary,7,5,Mountain,Standard,Live Streaming,4.8,3640.0
Corporate,6,4,Beach,Standard,Live Streaming,4.5,3125.0
Fashion Show,2,4,City,Standard,None,4.8,3740.0
Fashion Show,11,3,Mountain,Advanced,None,3.9,4395.0
Wedding,7,3,Beach,Standard,Live Streaming,3.7,3485.0
Sports,7,3,City,Standard,Instant Prints,4.5,3475.0
Birthday,8,3,Mountain,Premium,Photo Album,3.8,2490.0
Sports,3,1,Rural,Premium,Photo Album,3.5,2675.0
Fashion Show,9,1,Mountain,Premium,None,4.8,3840.0
Concert,7,5,Mountain,Advanced,Live Streaming,3.9,4395.0
Birthday,4,2,Mountain,Advanced,Live Streaming,3.5,2175.0
Corporate,4,2,Rural,Basic,Drone,3.9,2295.0
Birthday,10,2,Beach,Advanced,Live Streaming,4.9,2845.0
Wedding,3,3,Beach,Premium,None,4.2,2610.0
Anniversary,12,4,City,Standard,None,3.9,3395.0
Wedding,12,1,Suburban,Advanced,Instant Prints,3.7,3235.0
Concert,12,5,Rural,Standard,None,4.9,4445.0
Fashion Show,11,3,Suburban,Advanced,None,3.8,4390.0
Corporate,8,1,Suburban,Basic,Instant Prints,4.8,2390.0
Sports,3,1,Rural,Standard,Photo Album,4.1,2705.0
Wedding,7,2,Mountain,Advanced,Live Streaming,3.6,3280.0
Engagement,7,1,Rural,Advanced,None,4.9,2445.0
Concert,7,5,Mountain,Standard,Photo Album,4.6,4130.0
Engagement,5,4,Mountain,Standard,Live Streaming,4.7,3335.0
Fashion Show,4,2,Suburban,Basic,None,3.6,3480.0
Wedding,12,1,City,Standard,Photo Album,3.7,3285.0
Fashion Show,3,3,Suburban,Basic,Drone,4.7,3935.0
Concert,8,2,Suburban,Standard,Photo Album,4.3,3615.0
Wedding,5,2,Suburban,Basic,None,3.7,2585.0
Engagement,12,5,Beach,Standard,None,4.8,3740.0
Anniversary,4,5,City,Premium,Instant Prints,4.0,2950.0
Concert,11,5,Suburban,Basic,Drone,4.3,4615.0
Concert,12,2,Suburban,Standard,Drone,3.7,4085.0
Wedding,7,1,Mountain,Premium,None,3.9,2595.0
Birthday,8,5,Rural,Advanced,Photo Album,4.0,2900.0
Engagement,2,1,Rural,Basic,Live Streaming,4.4,2420.0
Wedding,5,2,Rural,Basic,Instant Prints,4.0,2750.0
Wedding,5,2,Mountain,Basic,Drone,4.1,2905.0
Sports,4,4,Mountain,Premium,Live Streaming,4.6,3730.0
Anniversary,5,2,Mountain,Basic,Instant Prints,3.8,2440.0
Anniversary,7,2,Rural,Standard,Live Streaming,4.3,3015.0
Sports,11,4,Beach,Standard,Photo Album,4.0,4100.0
Engagement,8,4,Mountain,Basic,None,4.9,3145.0
Concert,7,1,Mountain,Advanced,Instant Prints,5.0,3300.0
Anniversary,8,5,Rural,Standard,Drone,3.7,3485.0
Wedding,4,2,City,Basic,Photo Album,3.9,2695.0
Anniversary,9,2,Beach,Standard,None,4.9,2745.0
Concert,8,4,Beach,Basic,Drone,4.5,4125.0
Sports,11,2,Mountain,Advanced,Live Streaming,4.1,4005.0
Concert,2,2,Beach,Premium,Drone,4.1,3105.0
Engagement,3,5,Rural,Basic,Photo Album,4.0,3000.0
Fashion Show,11,1,Beach,Premium,Drone,4.4,4320.0
Birthday,9,4,Mountain,Standard,Live Streaming,3.9,3095.0
Wedding,3,1,Suburban,Advanced,Instant Prints,3.9,2345.0
Concert,11,5,City,Premium,None,4.2,4310.0
Sports,2,2,City,Basic,Drone,4.7,2935.0
Birthday,10,5,Mountain,Advanced,Photo Album,4.4,3120.0
Corporate,10,4,Suburban,Premium,Instant Prints,3.7,3135.0
Fashion Show,8,3,Suburban,Advanced,Live Streaming,3.6,4580.0
Wedding,4,3,Rural,Standard,Live Streaming,4.7,3235.0
Engagement,11,5,Suburban,Advanced,Photo Album,4.0,3800.0
Engagement,2,1,Rural,Standard,Instant Prints,4.8,2090.0
Fashion Show,12,3,Rural,Premium,Drone,4.1,4805.0
Concert,6,3,Mountain,Advanced,Photo Album,3.5,3575.0
Wedding,10,1,Suburban,Advanced,None,3.7,2885.0
Sports,11,2,Beach,Advanced,Live Streaming,4.0,4000.0
Concert,11,3,Mountain,Premium,Live Streaming,4.1,4405.0
Sports,3,5,Beach,Basic,Instant Prints,4.4,3470.0
Engagement,9,1,Suburban,Premium,None,4.7,2635.0
Anniversary,5,4,Suburban,Basic,None,4.1,2705.0
Corporate,5,1,Suburban,Advanced,Drone,5.0,2250.0
Concert,10,1,Suburban,Premium,Instant Prints,4.2,3560.0
Concert,10,4,Suburban,Basic,Photo Album,3.8,4190.0
Wedding,6,3,Mountain,Advanced,Photo Album,4.0,3100.0
Corporate,11,4,Rural,Basic,Photo Album,4.2,3310.0
Sports,6,2,Beach,Advanced,Drone,4.5,3325.0
Sports,10,5,Mountain,Advanced,Live Streaming,4.4,4520.0
Engagement,10,1,Rural,Advanced,Instant Prints,4.0,2850.0
Corporate,8,3,Beach,Basic,None,3.9,2595.0
Anniversary,12,5,Rural,Premium,Live Streaming,4.1,4105.0
Anniversary,3,4,Suburban,Advanced,None,4.1,2505.0
Sports,4,5,Beach,Basic,Drone,3.6,3680.0
Birthday,8,5,City,Basic,Instant Prints,4.8,2890.0
Sports,7,1,Suburban,Advanced,Photo Album,4.7,3135.0
Corporate,6,5,Suburban,Advanced,Drone,3.9,3095.0
Concert,11,1,Suburban,Standard,Drone,4.2,3810.0
Wedding,6,5,Mountain,Standard,Drone,4.5,3625.0
Sports,2,2,Beach,Premium,Instant Prints,3.6,2730.0
Fashion Show,3,5,Suburban,Standard,Photo Album,4.2,4210.0
Birthday,4,1,Beach,Advanced,Live Streaming,3.9,1995.0
Concert,2,4,Mountain,Advanced,Photo Album,4.1,3405.0
Wedding,8,2,Mountain,Basic,Photo Album,4.7,3135.0
Corporate,11,4,Suburban,Premium,Live Streaming,4.4,3620.0
Corporate,11,1,Rural,Basic,Photo Album,4.6,2730.0
Concert,4,4,Suburban,Advanced,Live Streaming,3.7,3885.0
Birthday,6,4,Suburban,Standard,Drone,4.8,2640.0
Fashion Show,6,2,City,Premium,Photo Album,4.4,3920.0
Engagement,3,2,City,Premium,Live Streaming,4.1,2705.0
Fashion Show,3,4,City,Basic,None,4.7,3835.0
Anniversary,5,5,Mountain,Basic,None,4.5,2925.0
Birthday,2,3,City,Premium,Drone,4.3,2015.0
Concert,8,3,Rural,Advanced,None,4.0,3600.0
Anniversary,4,1,Rural,Advanced,None,3.6,1980.0
Wedding,9,3,Rural,Basic,Instant Prints,4.8,3390.0
Anniversary,9,2,City,Premium,None,4.6,2730.0
Concert,11,1,City,Advanced,Photo Album,4.9,3745.0
Sports,11,2,Mountain,Standard,Live Streaming,3.7,3985.0
Sports,3,3,Beach,Premium,Photo Album,3.5,3075.0
Engagement,2,5,Beach,Advanced,Photo Album,4.5,2925.0
Sports,2,3,Mountain,Advanced,Photo Album,4.7,3035.0
Engagement,4,2,Rural,Basic,Drone,3.6,2580.0
Engagement,9,1,Mountain,Standard,None,4.5,2625.0
Sports,11,1,Rural,Premium,None,4.6,3330.0
Fashion Show,4,5,Beach,Basic,Instant Prints,4.5,4275.0
Engagement,3,4,Beach,Advanced,Live Streaming,4.9,3145.0
Corporate,10,3,Mountain,Premium,Live Streaming,3.9,3295.0
Concert,6,5,City,Standard,None,3.8,3790.0
Birthday,3,3,City,Standard,None,4.7,1835.0
Engagement,6,1,City,Basic,Live Streaming,3.6,2780.0
Birthday,12,5,Suburban,Premium,None,4.9,3145.0
Birthday,9,1,Mountain,Advanced,None,3.6,1980.0
Fashion Show,4,5,Beach,Standard,Instant Prints,4.3,4265.0
Engagement,8,3,Suburban,Basic,Live Streaming,4.8,3440.0
Anniversary,8,2,Suburban,Advanced,Photo Album,4.2,2810.0
Engagement,6,5,Rural,Advanced,Live Streaming,3.6,3580.0
Fashion Show,2,2,Rural,Advanced,None,4.8,3340.0
Engagement,12,5,Suburban,Premium,Photo Album,3.7,3885.0
Corporate,6,3,Rural,Basic,None,4.9,2445.0
Fashion Show,3,1,Suburban,Advanced,Live Streaming,4.4,3720.0
Birthday,6,1,City,Premium,Photo Album,3.7,1885.0
Anniversary,7,4,Rural,Basic,Live Streaming,4.5,3425.0
Engagement,2,1,Beach,Advanced,Live Streaming,4.9,2445.0
Anniversary,6,2,Rural,Basic,None,3.7,2385.0
Anniversary,10,5,Rural,Advanced,Instant Prints,3.8,3540.0
Fashion Show,12,4,Beach,Advanced,Photo Album,5.0,4950.0
Wedding,4,4,Suburban,Standard,Drone,3.6,3180.0
Fashion Show,12,4,Rural,Advanced,Live Streaming,4.9,5245.0
Fashion Show,4,1,Suburban,Premium,Drone,4.8,3640.0
Birthday,10,5,Mountain,Premium,Live Streaming,3.9,3395.0
Birthday,7,3,Beach,Standard,Drone,4.5,2525.0
Fashion Show,5,4,Mountain,Advanced,Drone,4.8,4340.0
Birthday,10,3,Mountain,Basic,None,4.7,2535.0
Fashion Show,12,5,City,Standard,Photo Album,4.4,5120.0
Anniversary,7,1,Mountain,Advanced,Drone,4.5,2625.0
Engagement,12,4,Suburban,Standard,Photo Album,3.9,3695.0
Anniversary,6,5,Mountain,Standard,Live Streaming,4.8,3540.0
Fashion Show,3,1,Mountain,Basic,Photo Album,4.9,3445.0
Corporate,6,1,Suburban,Premium,Live Streaming,4.9,2545.0
Engagement,9,4,Mountain,Premium,None,3.6,3180.0
Wedding,5,1,Mountain,Advanced,Drone,3.7,2685.0
Sports,2,2,Rural,Basic,Instant Prints,4.2,2760.0
Sports,5,5,Beach,Basic,Photo Album,4.8,3740.0
Birthday,8,3,Rural,Basic,None,4.8,2340.0
Corporate,5,1,City,Advanced,None,4.9,1945.0
Engagement,6,3,Rural,Basic,Instant Prints,4.5,2875.0
Sports,5,3,Beach,Basic,Live Streaming,4.2,3610.0
Birthday,9,2,Rural,Premium,Photo Album,3.7,2385.0
Wedding,8,2,Beach,Advanced,Live Streaming,4.7,3435.0
Wedding,9,1,Beach,Basic,Instant Prints,4.9,2995.0
Birthday,2,1,Beach,Standard,None,4.1,1305.0
Wedding,2,2,City,Basic,Photo Album,4.2,2510.0
Corporate,12,3,Suburban,Advanced,None,3.7,2985.0
Wedding,4,2,Suburban,Standard,Instant Prints,4.0,2650.0
Fashion Show,7,3,Beach,Standard,Drone,4.5,4325.0
Anniversary,5,5,Suburban,Standard,None,4.0,2900.0
Engagement,6,5,Mountain,Premium,Instant Prints,4.4,3270.0
Wedding,2,4,Suburban,Premium,Live Streaming,4.1,3205.0
Concert,9,5,Beach,Premium,None,4.8,4140.0
Sports,12,2,Beach,Standard,Live Streaming,4.3,4115.0
Birthday,10,2,Rural,Standard,Live Streaming,4.0,2800.0
Sports,5,2,Beach,Advanced,Instant Prints,4.5,3075.0
Concert,11,2,City,Advanced,Drone,3.7,3985.0
Anniversary,10,3,Mountain,Premium,None,3.9,2995.0
Engagement,6,1,City,Standard,Photo Album,4.4,2520.0
Sports,9,4,Rural,Advanced,Photo Album,4.9,3945.0
Engagement,10,3,City,Basic,Drone,4.9,3445.0
Sports,8,2,City,Standard,Drone,4.7,3535.0
Concert,8,3,Beach,Basic,Photo Album,4.0,3800.0
Sports,8,4,Rural,Standard,Live Streaming,4.9,4145.0
Corporate,3,1,Beach,Basic,Photo Album,4.4,1920.0
Fashion Show,3,1,Rural,Premium,None,3.7,3185.0
Wedding,9,5,Mountain,Advanced,Instant Prints,4.3,3765.0
Fashion Show,8,5,City,Standard,Instant Prints,4.0,4650.0
Concert,2,4,Mountain,Premium,Photo Album,4.4,3420.0
Birthday,6,1,Beach,Standard,Live Streaming,3.9,2195.0
Sports,7,2,Beach,Premium,Live Streaming,3.9,3595.0
Sports,7,5,City,Basic,Live Streaming,4.6,4230.0
Sports,9,5,Mountain,Standard,Live Streaming,4.1,4405.0
Concert,4,1,Mountain,Advanced,Photo Album,5.0,3050.0
Sports,6,2,Mountain,Basic,Live Streaming,3.8,3490.0
Birthday,8,2,City,Advanced,Live Streaming,4.3,2615.0
Anniversary,10,1,Rural,Standard,Instant Prints,3.6,2730.0
Sports,7,4,Mountain,Advanced,Live Streaming,3.8,3990.0
Wedding,2,3,Suburban,Premium,Drone,4.3,2815.0
Corporate,8,4,Rural,Basic,Instant Prints,3.7,2935.0
Birthday,5,1,Beach,Basic,Drone,3.5,1875.0
Concert,5,5,Rural,Standard,Photo Album,4.1,3905.0
Concert,6,5,Mountain,Basic,Instant Prints,4.4,3970.0
Anniversary,6,1,Rural,Basic,Instant Prints,3.6,2330.0
Corporate,4,5,Mountain,Basic,Live Streaming,3.6,3080.0
Anniversary,5,4,Beach,Basic,Drone,4.6,3030.0
Concert,5,2,Rural,Basic,Live Streaming,3.6,3580.0
Birthday,6,3,Mountain,Premium,Instant Prints,4.4,2270.0
Birthday,12,4,Mountain,Standard,None,4.9,2945.0
Engagement,6,2,Rural,Basic,Instant Prints,3.7,2635.0
Fashion Show,5,5,Suburban,Standard,Live Streaming,4.6,4730.0
Corporate,11,5,Suburban,Basic,Live Streaming,4.9,3845.0
Sports,2,3,Suburban,Premium,Live Streaming,4.4,3320.0
Fashion Show,5,1,Mountain,Standard,Drone,3.9,3695.0
Fashion Show,9,4,City,Basic,Photo Album,4.0,4600.0
Wedding,12,3,Suburban,Premium,Photo Album,3.9,3695.0
Sports,5,3,Beach,Advanced,Live Streaming,4.6,3630.0
Birthday,2,3,Beach,Premium,None,5.0,1750.0
Birthday,3,1,City,Basic,Photo Album,3.6,1580.0
Anniversary,9,4,Beach,Advanced,Drone,4.3,3415.0
Engagement,4,2,City,Standard,Photo Album,3.9,2495.0
Engagement,6,1,Mountain,Advanced,None,4.5,2325.0
Engagement,7,5,Rural,Basic,Live Streaming,4.7,3735.0
Sports,3,5,City,Basic,Instant Prints,3.8,3440.0
Wedding,9,5,Suburban,Standard,None,4.7,3635.0
Corporate,2,5,Suburban,Standard,Photo Album,4.2,2610.0
Sports,11,1,Mountain,Standard,None,4.6,3330.0
Birthday,3,1,Rural,Basic,Photo Album,4.3,1615.0
Fashion Show,8,3,Rural,Standard,Drone,3.7,4385.0
Wedding,10,1,Beach,Premium,Drone,3.8,3190.0
Birthday,11,3,Mountain,Standard,Photo Album,4.0,2800.0
Birthday,12,1,Mountain,Standard,Instant Prints,3.5,2425.0
Birthday,10,2,Beach,Premium,Live Streaming,4.1,2805.0
Anniversary,11,5,Rural,Standard,Photo Album,3.9,3695.0
Birthday,4,3,Rural,Premium,Instant Prints,4.7,2085.0
Anniversary,5,3,Suburban,Premium,None,4.9,2545.0
Corporate,10,5,Mountain,Advanced,Live Streaming,4.6,3730.0
Wedding,4,4,Suburban,Advanced,Photo Album,3.6,3080.0
Fashion Show,11,3,Suburban,Advanced,Instant Prints,4.5,4575.0
Birthday,5,2,Mountain,Advanced,Instant Prints,3.8,1940.0
Sports,6,3,Rural,Premium,Live Streaming,3.9,3695.0
Birthday,4,4,City,Premium,Instant Prints,4.6,2280.0
Anniversary,12,2,City,Basic,Photo Album,4.3,3215.0
Anniversary,10,2,Mountain,Standard,Live Streaming,3.9,3295.0
Anniversary,4,1,Beach,Basic,None,4.2,2010.0
Fashion Show,8,4,Rural,Basic,Photo Album,4.1,4505.0
Sports,7,4,Suburban,Basic,Photo Album,4.4,3720.0
Wedding,4,4,Beach,Premium,None,3.6,2880.0
Birthday,2,5,City,Advanced,Drone,4.3,2415.0
Wedding,4,1,Rural,Standard,Instant Prints,3.7,2435.0
Corporate,8,4,Mountain,Basic,None,4.4,2820.0
Birthday,9,5,Beach,Standard,Live Streaming,3.8,3290.0
Engagement,11,1,Suburban,Standard,None,5.0,2850.0
Corporate,10,1,Mountain,Advanced,Instant Prints,4.8,2590.0
Sports,7,4,Mountain,Premium,Instant Prints,3.5,3625.0
Wedding,5,5,Mountain,Basic,None,4.3,3215.0
Concert,2,5,Mountain,Premium,Live Streaming,4.9,3945.0
Fashion Show,10,4,Rural,Premium,None,4.4,4520.0
Fashion Show,9,2,Rural,Basic,Drone,3.5,4275.0
